25f50d8,4,4,4,4,2160
25fdd9c,4,4,4,4,2160
264ebdb,4,4,4,1,2160
265655d,3,3,3,-1,1440
26658d4,4,4,-1,-1,1080
267ab48,4,3,-1,-1,1080
26872eb,4,4,4,1,2160
26b32cc,4,4,-1,-1,1080
26bca6b,4,4,4,4,2160
26c9129,2,0,-1,-1,1080
26cc3cd,4,4,-1,-1,1080
26dea6a,4,4,-1,-1,1080
26e6e8d,4,4,3,0,2160
26eaaf6,4,4,4,-1,1440
26f6150,4,4,4,4,2160
26f8e85,4,4,-1,-1,1080
271e95f,4,4,0,-1,1440
2750f9d,4,4,4,-1,1440
275992f,4,4,4,1,2160
275fa8d,4,4,-1,-1,1080
275fbe7,3,3,-1,-1,1080
27922c4,3,3,-1,-1,1080
2798174,3,3,3,-1,1440
27ad43b,4,4,4,-1,1440
27c7a89,4,4,4,-1,1440
27f6d93,4,4,-1,-1,1080
280cac5,4,4,-1,-1,1080
281193f,4,4,-1,-1,1080
2831910,4,4,4,4,2160
284503f,4,2,-1,-1,1080
2849da3,4,3,-1,-1,1080
284e61a,4,4,4,4,2160
28773e8,4,4,-1,-1,1080
2877fd2,4,4,-1,-1,1080
288cad1,4,4,4,4,2160
289b2bf,4,4,4,-1,1440
28a4aeb,4,4,-1,-1,1080
28c50a6,4,4,-1,-1,1080
28ced6a,4,4,-1,-1,1080
28cef8e,4,4,-1,-1,1080
28e0a34,4,4,-1,-1,1080
28f14cd,4,4,-1,-1,1080
28fb178,4,4,4,0,2160
290de22,3,3,3,-1,1440
292394e,4,4,-1,-1,1080
292d896,4,3,3,-1,1440
293f244,4,4,-1,-1,1080
29441bc,4,4,4,4,2160
2947003,4,4,4,4,2160
2947358,4,4,4,4,2160
295d718,4,3,-1,-1,1080
2984e53,3,4,-1,-1,1080
29acf43,3,4,4,-1,1440
29d02a3,3,4,0,0,2160
29d28ab,3,4,2,-1,1440
29d8f3f,4,4,-1,-1,1080
29d959a,4,4,4,3,2160
29e5023,1,4,-1,-1,1080
2a113d7,4,4,-1,-1,1080
2a14b7b,4,4,-1,-1,1080
2a23a74,4,3,2,-1,1440
2a421f5,4,4,4,4,2160
2a57037,3,3,3,-1,1440
2a742c6,3,3,3,-1,1440
2a7ba7b,4,4,4,4,2160
2a7deb2,4,4,4,-1,1440
2a9201e,3,4,2,-1,1440
2a9820e,4,1,3,-1,1440
2aa8784,4,4,-1,-1,1080
2aaaf55,4,4,-1,-1,1080
2aace30,4,4,-1,-1,1080
2aae249,4,4,4,4,2160
2aba4a5,3,1,0,-1,1440
2ac897f,4,4,4,4,2160
2ad50ec,4,3,3,4,2160
2ad6fac,4,4,4,0,2160
2aef975,3,3,-1,-1,1080
2af2da7,4,4,-1,-1,1080
2af7716,4,4,4,4,2160
2b0f512,4,4,4,4,2160
